user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
95,-0.99967515,-0.99967515,-0.99967515,-0.99967515,-0.99967515,-0.99967515,-0.99967515,-0.99967515,-0.99967515,-0.99967515,-0.9974705,0.9790319,-0.989262,-0.989262
96,-0.99824584,-0.99824584,-0.99824584,-0.99824584,-0.99824584,-0.99824584,-0.99824584,-0.99947494,-0.99947494,-0.99947494,0.99634546,0.983098,0.983098,0.983098
97,-0.9993456,-0.9993456,-0.9993456,-0.9993456,-0.9993456,-0.9993456,-0.9993456,-0.9993456,0.99857163,0.99857163,0.99857163,-0.8625677,-0.8625677,0.5483247
98,-0.76188153,-0.76188153,-0.76188153,-0.76188153,-0.76188153,-0.76188153,-0.76188153,-0.76188153,-0.76188153,0.99270517,0.99270517,0.99270517,0.99270517,-0.9968696
99,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457,-0.99950457
100,-0.99917835,-0.99917835,-0.99917835,-0.99917835,-0.99917835,-0.99917835,-0.99917835,-0.99917835,-0.99917835,-0.9994486,-0.9994486,-0.9994486,-0.9994486,-0.99238586
101,-0.9997985,-0.9997985,-0.9997985,0.97925514,0.97925514,0.97925514,0.97925514,0.97925514,0.97925514,0.97925514,0.97925514,0.97925514,0.97925514,-0.9792523
102,-0.9819011,-0.9819011,0.57406706,0.57406706,0.57406706,0.57406706,0.9979372,-0.99514455,-0.99514455,-0.99514455,-0.99514455,-0.99514455,-0.99514455,-0.99514455
103,-0.9936127,-0.9970784,-0.9970784,-0.9970784,-0.9970784,-0.9970784,-0.9970784,-0.9970784,-0.9932167,-0.9932167,-0.9932167,-0.9932167,-0.99865544,-0.99865544
104,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.9247064,0.87499523
105,-0.99541855,-0.99541855,-0.99541855,-0.99541855,-0.99541855,-0.99541855,-0.99541855,-0.99541855,-0.99541855,-0.99541855,-0.99541855,0.76924026,0.76924026,0.76924026
106,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813,-0.99844813
107,-0.9966342,-0.9966342,-0.9966342,-0.9966342,-0.9966342,-0.9966342,-0.9966342,-0.9966342,-0.9966342,0.011651069,0.011651069,0.011651069,0.011651069,0.011651069
108,-0.9988379,-0.9988379,-0.9988379,-0.9988379,-0.9988379,-0.9988379,-0.9988379,-0.9988379,0.83700323,0.83700323,-0.9939482,-0.9939482,-0.9939482,-0.99901915
109,-0.9597259,-0.9597259,-0.9597259,0.99374664,-0.92711174,-0.92711174,-0.92711174,-0.92711174,-0.92711174,-0.92711174,-0.92711174,-0.9995358,-0.9995358,-0.9995358
110,0.9997009,-0.9987727,-0.9987727,-0.9987727,-0.9987727,-0.9987727,-0.9987727,-0.9987727,-0.9987727,0.6481821,0.6481821,0.6481821,0.6481821,0.6481821
