user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28
35,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.99605846,-0.07728183,-0.07728183,-0.07728183,-0.07728183
36,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.99296993,-0.9995435,-0.9995435,-0.9995435
37,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824,-0.99575824
38,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9915388,-0.9995796,-0.9971545,-0.9971545,-0.9742993,-0.9742993
39,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121,-0.9988121
40,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.99871457,-0.97752655,-0.97752655,-0.98699677,-0.98699677,-0.98699677,-0.98699677,-0.98699677
41,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,0.7320089,-0.98119617,-0.76405996,-0.76405996,-0.76405996,-0.76405996
42,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,-0.99269557,0.99934703,-0.99767965,-0.99767965,-0.99767965,-0.99701935,-0.99701935
43,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9977235,-0.9959021,-0.99443924,-0.99443924,-0.99443924,-0.99443924
44,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882,-0.9839882
